rank,finalWorth,category,personName,age,country,source,industries,organization,selfMade,gender,firstName,gdp_country,wealth_per_capita,age_at_2024,cpi_change_percentage,education_enrollment_ratio,tax_revenue_percentage_gdp,total_tax_rate_percentage
11,8250.0,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,L'Oréal,Fashion & Retail,,0,F,Francoise,"$2,715,518,274,227 ",0.0001230243647741309,71.0,0.9995456610631533,63.99999999999999,0.29333333333333333,0.7357575757575758
12,8250.0,Technology,Larry Page,50.0,United States,Google,Technology,Alphabet,1,M,Larry,"$21,427,700,000,000 ",2.5134084782349625e-05,51.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
13,8250.0,Fashion & Retail,Amancio Ortega,87.0,Spain,Zara,Fashion & Retail,,1,M,Amancio,"$1,394,116,310,769 ",0.00017524562692593617,88.0,0.6308579668348955,86.56280428432328,0.1721212121212121,0.5696969696969697
14,8250.0,Technology,Sergey Brin,49.0,United States,Google,Technology,Alphabet,1,M,Sergey,"$21,427,700,000,000 ",2.5134084782349625e-05,51.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
15,8250.0,Food & Beverage,Zhong Shanshan,68.0,China,"Beverages, pharmaceuticals",Food & Beverage,,1,M,Shanshan,"$19,910,000,000,000 ",5.902490851139181e-06,70.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
16,8250.0,Technology,Mark Zuckerberg,38.0,United States,Facebook,Technology,Meta Platforms,1,M,Mark,"$21,427,700,000,000 ",2.5134084782349625e-05,40.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
17,8250.0,Diversified,Charles Koch & family,87.0,United States,Koch Industries,Diversified,"Koch Industries, Inc.",0,M,Charles,"$21,427,700,000,000 ",2.5134084782349625e-05,89.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
17,8250.0,Diversified,Julia Koch & family,60.0,United States,Koch Industries,Diversified,,0,F,Julia,"$21,427,700,000,000 ",2.5134084782349625e-05,62.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
19,8250.0,Fashion & Retail,Jim Walton,74.0,United States,Walmart,Fashion & Retail,"Arvest Bank Group, Inc.",0,M,Jim,"$21,427,700,000,000 ",2.5134084782349625e-05,76.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
20,8250.0,Fashion & Retail,Rob Walton & family,78.0,United States,Walmart,Fashion & Retail,Walmart,0,M,Rob,"$21,427,700,000,000 ",2.5134084782349625e-05,80.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
21,8250.0,Fashion & Retail,Alice Walton,73.0,United States,Walmart,Fashion & Retail,Crystal Bridges Museum of American Art,0,F,Alice,"$21,427,700,000,000 ",2.5134084782349625e-05,75.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
22,8250.0,Media & Entertainment,David Thomson & family,65.0,Canada,Media,Media & Entertainment,Thomson Reuters Corporation,0,M,David,"$1,736,425,629,520 ",0.00022302130832084933,67.0,1.6272696128811235,68.28543111992072,0.15515151515151515,0.296969696969697
23,8250.0,Technology,Michael Dell,58.0,United States,Dell Technologies,Technology,Dell Inc.,1,M,Michael,"$21,427,700,000,000 ",2.5134084782349625e-05,59.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
24,8250.0,Diversified,Gautam Adani,60.0,India,"Infrastructure, commodities",Diversified,,1,M,Gautam,"$2,611,000,000,000 ",6.0376850167887966e-06,62.0,4.267346486366659,24.867256637168143,0.13575757575757574,0.6024242424242425
25,8250.0,Fashion & Retail,Phil Knight & family,85.0,United States,Nike,Fashion & Retail,Nike,1,M,Phil,"$21,427,700,000,000 ",2.5134084782349625e-05,86.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
26,8250.0,Technology,Zhang Yiming,39.0,China,TikTok,Technology,ByteDance,1,M,Yiming,"$19,910,000,000,000 ",5.902490851139181e-06,40.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
27,8250.0,Fashion & Retail,Dieter Schwarz,83.0,Germany,Retail,Fashion & Retail,,0,M,Dieter,"$3,845,630,030,824 ",9.923880946195496e-05,85.0,1.2405848471422243,67.5,0.1393939393939394,0.5915151515151514
28,8250.0,Fashion & Retail,François Pinault & family,86.0,France,Luxury goods,Fashion & Retail,,1,M,François,"$2,715,518,274,227 ",0.0001230243647741309,88.0,0.9995456610631533,63.99999999999999,0.29333333333333333,0.7357575757575758
29,8250.0,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Shipping,Logistics,,0,M,Klaus-Michael,"$703,082,435,360 ",0.0009621179750227177,87.0,0.4018081366147665,56.65399239543726,0.12242424242424241,0.3490909090909091
30,8250.0,Food & Beverage,Giovanni Ferrero,58.0,Belgium,"Nutella, chocolates",Food & Beverage,,0,M,Giovanni,"$529,606,710,418 ",0.0007183873640451914,60.0,1.195457262402869,76.70837343599615,0.2909090909090909,0.6715151515151515
31,8250.0,Food & Beverage,Jacqueline Mars,83.0,United States,"Candy, pet food",Food & Beverage,,0,F,Jacqueline,"$21,427,700,000,000 ",2.5134084782349625e-05,85.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
31,8250.0,Food & Beverage,John Mars,87.0,United States,"Candy, pet food",Food & Beverage,,0,M,John,"$21,427,700,000,000 ",2.5134084782349625e-05,89.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
33,8250.0,Diversified,Li Ka-shing,94.0,Hong Kong,Diversified,Diversified,CK Hutchison Holdings,1,M,Ka-shing,,,96.0,,,,
34,8250.0,Technology,Ma Huateng,51.0,China,Internet media,Technology,Tencent Holdings,1,M,Huateng,"$19,910,000,000,000 ",5.902490851139181e-06,53.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
35,8250.0,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Casinos,Gambling & Casinos,,0,F,Miriam,"$21,427,700,000,000 ",2.5134084782349625e-05,79.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
35,8250.0,Finance & Investments,Ken Griffin,54.0,United States,Hedge funds,Finance & Investments,Citadel LLC,1,M,Ken,"$21,427,700,000,000 ",2.5134084782349625e-05,56.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
37,8250.0,Food & Beverage,Mark Mateschitz,30.0,Austria,Red Bull,Food & Beverage,,0,M,Mark,"$446,314,739,528 ",0.00092936101529931,32.0,1.2705404031848213,82.54122211445198,0.30787878787878786,0.623030303030303
38,8250.0,Automotive,Robin Zeng,54.0,China,Batteries,Automotive,,1,M,Robin,"$19,910,000,000,000 ",5.902490851139181e-06,55.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
39,8250.0,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Fashion retail,Fashion & Retail,,1,M,Tadashi,"$5,081,769,542,380 ",6.53586652217305e-05,75.0,0.47402351156617367,63.96761133603239,0.14424242424242426,0.5660606060606062
40,8250.0,Diversified,Len Blavatnik,65.0,United Kingdom,"Music, chemicals",Diversified,,1,M,Len,"$2,827,113,184,696 ",0.0001234394171684479,67.0,1.421167028924929,59.28853754940712,0.3090909090909091,0.3709090909090909
41,8250.0,Fashion & Retail,Alain Wertheimer,74.0,United States,Chanel,Fashion & Retail,,0,M,Alain,"$21,427,700,000,000 ",2.5134084782349625e-05,76.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
41,8250.0,Fashion & Retail,Gerard Wertheimer,72.0,United States,Chanel,Fashion & Retail,,0,M,Gerard,"$21,427,700,000,000 ",2.5134084782349625e-05,73.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
43,8250.0,Logistics,Gianluigi Aponte,82.0,Switzerland,Shipping,Logistics,,1,M,Gianluigi,"$703,082,435,360 ",0.0009621179750227177,84.0,0.4018081366147665,56.65399239543726,0.12242424242424241,0.3490909090909091
43,8250.0,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Shipping,Logistics,,1,F,Rafaela,"$703,082,435,360 ",0.0009621179750227177,79.0,0.4018081366147665,56.65399239543726,0.12242424242424241,0.3490909090909091
45,8250.0,Technology,Colin Zheng Huang,43.0,China,E-commerce,Technology,,1,M,Colin Zheng,"$19,910,000,000,000 ",5.902490851139181e-06,44.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
46,8250.0,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Fasteners,Manufacturing,,1,M,Reinhold,"$3,845,630,030,824 ",9.923880946195496e-05,89.0,1.2405848471422243,67.5,0.1393939393939394,0.5915151515151514
47,8250.0,Real Estate,Lee Shau Kee,95.0,Hong Kong,Real estate,Real Estate,,1,M,Shau Kee,,,96.0,,,,
48,8250.0,Finance & Investments,Jeff Yass,64.0,United States,"Trading, investments",Finance & Investments,,1,M,Jeff,"$21,427,700,000,000 ",2.5134084782349625e-05,66.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
49,8250.0,Finance & Investments,Jim Simons,84.0,United States,Hedge funds,Finance & Investments,Renaissance Technologies Corp.,1,M,Jim,"$21,427,700,000,000 ",2.5134084782349625e-05,86.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
50,8250.0,Finance & Investments,Stephen Schwarzman,76.0,United States,Investments,Finance & Investments,Blackstone Group,1,M,Stephen,"$21,427,700,000,000 ",2.5134084782349625e-05,77.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
51,8250.0,Automotive,Susanne Klatten,60.0,Germany,"BMW, pharmaceuticals",Automotive,,0,F,Susanne,"$3,845,630,030,824 ",9.923880946195496e-05,62.0,1.2405848471422243,67.5,0.1393939393939394,0.5915151515151514
52,8250.0,Metals & Mining,Gina Rinehart,69.0,Australia,Mining,Metals & Mining,Hancock Prospecting,0,F,Gina,"$1,392,680,589,329 ",0.000320181878831146,70.0,1.335559265442404,112.7617148554337,0.2787878787878788,0.5745454545454545
53,8250.0,Technology,William Ding,51.0,China,Online games,Technology,,1,M,William,"$19,910,000,000,000 ",5.902490851139181e-06,53.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
54,8250.0,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mining,Metals & Mining,,0,M,Germán,"$1,258,286,717,125 ",6.546890368329163e-05,71.0,2.5434506146672318,37.99621928166352,0.15878787878787878,0.6678787878787878
55,8250.0,Technology,Shiv Nadar,77.0,India,software services,Technology,,1,M,Shiv,"$2,611,000,000,000 ",6.0376850167887966e-06,79.0,4.267346486366659,24.867256637168143,0.13575757575757574,0.6024242424242425
56,8250.0,Energy,Low Tuck Kwong,74.0,Indonesia,Coal,Energy,,1,M,Kwong,"$1,119,190,780,753 ",3.0532495944535105e-05,76.0,1.9843894695065485,34.116541353383454,0.12363636363636364,0.36484848484848487
57,8250.0,Finance & Investments,Thomas Peterffy,78.0,United States,Discount brokerage,Finance & Investments,,1,M,Thomas,"$21,427,700,000,000 ",2.5134084782349625e-05,80.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
58,8250.0,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,"Fertilizers, coal",Metals & Mining,,1,M,Andrey,"$421,142,267,938 ",0.0008443759800518478,52.0,-1.659098847362906,33.94833948339483,0.0012121212121212121,0.19272727272727275
59,8250.0,Automotive,Stefan Quandt,56.0,Germany,BMW,Automotive,,0,M,Stefan,"$3,845,630,030,824 ",9.923880946195496e-05,58.0,1.2405848471422243,67.5,0.1393939393939394,0.5915151515151514
60,8250.0,Technology,MacKenzie Scott,52.0,United States,Amazon,Technology,,0,F,MacKenzie,"$21,427,700,000,000 ",2.5134084782349625e-05,54.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
61,8250.0,Finance & Investments,R. Budi Hartono,82.0,Indonesia,"Banking, tobacco",Finance & Investments,,0,M,R. Budi,"$1,119,190,780,753 ",3.0532495944535105e-05,83.0,1.9843894695065485,34.116541353383454,0.12363636363636364,0.36484848484848487
62,8250.0,Metals & Mining,Vladimir Potanin,62.0,Russia,Metals,Metals & Mining,,1,M,Vladimir,"$1,699,876,578,871 ",5.714343698794935e-05,63.0,2.4896265560165975,79.82456140350878,0.13818181818181818,0.5599999999999999
63,8250.0,Technology,Jack Ma,58.0,China,E-commerce,Technology,,1,M,Jack,"$19,910,000,000,000 ",5.902490851139181e-06,60.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
64,8250.0,Manufacturing,He Xiangjian & family,80.0,China,Home appliances,Manufacturing,,1,M,Xiangjian,"$19,910,000,000,000 ",5.902490851139181e-06,82.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
65,8250.0,Metals & Mining,Iris Fontbona & family,80.0,Chile,Mining,Metals & Mining,,0,F,Iris,"$282,318,159,745 ",0.000435309384668815,81.0,1.971040861193238,87.27810650887574,0.22060606060606058,0.4121212121212121
65,8250.0,Manufacturing,Michael Hartono,83.0,Indonesia,"Banking, tobacco",Manufacturing,,0,M,Michael,"$1,119,190,780,753 ",3.0532495944535105e-05,85.0,1.9843894695065485,34.116541353383454,0.12363636363636364,0.36484848484848487
67,8250.0,Manufacturing,James Ratcliffe,70.0,United Kingdom,Chemicals,Manufacturing,,1,M,James,"$2,827,113,184,696 ",0.0001234394171684479,71.0,1.421167028924929,59.28853754940712,0.3090909090909091,0.3709090909090909
68,8250.0,Healthcare,Cyrus Poonawalla,81.0,India,Vaccines,Healthcare,,0,M,Cyrus,"$2,611,000,000,000 ",6.0376850167887966e-06,83.0,4.267346486366659,24.867256637168143,0.13575757575757574,0.6024242424242425
69,8250.0,Telecom,Masayoshi Son,65.0,Japan,"Internet, telecom",Telecom,SoftBank Group Corp.,1,M,Masayoshi,"$5,081,769,542,380 ",6.53586652217305e-05,67.0,0.47402351156617367,63.96761133603239,0.14424242424242426,0.5660606060606062
70,8250.0,Metals & Mining,Vladimir Lisin,66.0,Russia,"Steel, transport",Metals & Mining,,1,M,Vladimir,"$1,699,876,578,871 ",5.714343698794935e-05,68.0,2.4896265560165975,79.82456140350878,0.13818181818181818,0.5599999999999999
71,8250.0,Food & Beverage,Emmanuel Besnier,52.0,France,Cheese,Food & Beverage,,0,M,Emmanuel,"$2,715,518,274,227 ",0.0001230243647741309,54.0,0.9995456610631533,63.99999999999999,0.29333333333333333,0.7357575757575758
72,8250.0,Finance & Investments,Abigail Johnson,61.0,United States,Fidelity,Finance & Investments,Fidelity Investments,0,F,Abigail,"$21,427,700,000,000 ",2.5134084782349625e-05,63.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
72,8250.0,Energy,Leonid Mikhelson & family,67.0,Russia,"Gas, chemicals",Energy,,1,M,Leonid,"$1,699,876,578,871 ",5.714343698794935e-05,69.0,2.4896265560165975,79.82456140350878,0.13818181818181818,0.5599999999999999
74,8250.0,Fashion & Retail,Lukas Walton,36.0,United States,Walmart,Fashion & Retail,,0,M,Lukas,"$21,427,700,000,000 ",2.5134084782349625e-05,38.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
74,8250.0,Service,Wang Wei,52.0,China,Package delivery,Service,,1,M,Wei,"$19,910,000,000,000 ",5.902490851139181e-06,54.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
76,8250.0,Technology,Jensen Huang,60.0,United States,Semiconductors,Technology,Nvidia,1,M,Jensen,"$21,427,700,000,000 ",2.5134084782349625e-05,61.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
77,8250.0,Fashion & Retail,Leonard Lauder,90.0,United States,Estee Lauder,Fashion & Retail,The Estée Lauder Companies,0,M,Leonard,"$21,427,700,000,000 ",2.5134084782349625e-05,91.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
77,8250.0,Manufacturing,Takemitsu Takizaki,77.0,Japan,Sensors,Manufacturing,,1,M,Takemitsu,"$5,081,769,542,380 ",6.53586652217305e-05,79.0,0.47402351156617367,63.96761133603239,0.14424242424242426,0.5660606060606062
79,8250.0,Metals & Mining,Alexey Mordashov & family,57.0,Russia,"Steel, investments",Metals & Mining,,1,M,Alexey,"$1,699,876,578,871 ",5.714343698794935e-05,59.0,2.4896265560165975,79.82456140350878,0.13818181818181818,0.5599999999999999
80,8250.0,Energy,Vagit Alekperov,72.0,Russia,Oil,Energy,,1,M,Vagit,"$1,699,876,578,871 ",5.714343698794935e-05,74.0,2.4896265560165975,79.82456140350878,0.13818181818181818,0.5599999999999999
81,8250.0,Healthcare,"Thomas Frist, Jr. & family",84.0,United States,Hospitals,Healthcare,,1,M,Thomas,"$21,427,700,000,000 ",2.5134084782349625e-05,86.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
82,8250.0,Metals & Mining,Andrew Forrest,61.0,Australia,Mining,Metals & Mining,,1,M,Andrew,"$1,392,680,589,329 ",0.000320181878831146,63.0,1.335559265442404,112.7617148554337,0.2787878787878788,0.5745454545454545
83,8250.0,Finance & Investments,Ray Dalio,73.0,United States,Hedge funds,Finance & Investments,Bridgewater Associates,1,M,Ray,"$21,427,700,000,000 ",2.5134084782349625e-05,75.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
84,8250.0,Automotive,Eric Li,59.0,China,Automobiles,Automotive,,1,M,Eric,"$19,910,000,000,000 ",5.902490851139181e-06,61.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
84,8250.0,Metals & Mining,Wang Wenyin,55.0,China,"Mining, copper products",Metals & Mining,,1,M,Wenyin,"$19,910,000,000,000 ",5.902490851139181e-06,56.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
86,8250.0,Diversified,Eyal Ofer,72.0,Monaco,"Real estate, shipping",Diversified,,0,M,Eyal,"$7,184,844,193 ",0.21173390822297505,74.0,,,,
86,8250.0,Food & Beverage,Qin Yinglin,57.0,China,Pig breeding,Food & Beverage,,1,M,Yinglin,"$19,910,000,000,000 ",5.902490851139181e-06,59.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
88,8250.0,Automotive,Wang Chuanfu,57.0,China,"Batteries, automobiles",Automotive,,1,M,Chuanfu,"$19,910,000,000,000 ",5.902490851139181e-06,58.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
89,8250.0,Energy,Harold Hamm & family,77.0,United States,Oil & gas,Energy,Continental Resources Inc. ,1,M,Harold,"$21,427,700,000,000 ",2.5134084782349625e-05,79.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
89,8250.0,Finance & Investments,David Tepper,65.0,United States,Hedge funds,Finance & Investments,Appaloosa Management,1,M,David,"$21,427,700,000,000 ",2.5134084782349625e-05,67.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
89,8250.0,Energy,Gennady Timchenko,70.0,Russia,"Oil, gas",Energy,,1,M,Gennady,"$1,699,876,578,871 ",5.714343698794935e-05,72.0,2.4896265560165975,79.82456140350878,0.13818181818181818,0.5599999999999999
92,8250.0,Finance & Investments,Daniel Gilbert,61.0,United States,Quicken Loans,Finance & Investments,,1,M,Daniel,"$21,427,700,000,000 ",2.5134084782349625e-05,62.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
93,8250.0,Metals & Mining,Lakshmi Mittal,72.0,United Kingdom,Steel,Metals & Mining,ArcelorMittal (ADR),0,M,Lakshmi,"$2,827,113,184,696 ",0.0001234394171684479,74.0,1.421167028924929,59.28853754940712,0.3090909090909091,0.3709090909090909
94,8250.0,Finance & Investments,Steve Cohen,66.0,United States,Hedge funds,Finance & Investments,Point72 Asset Management,1,M,Steve,"$21,427,700,000,000 ",2.5134084782349625e-05,68.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
94,8250.0,Finance & Investments,Carl Icahn,87.0,United States,Investments,Finance & Investments,Icahn Capital Management,1,M,Carl,"$21,427,700,000,000 ",2.5134084782349625e-05,88.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
94,8250.0,Metals & Mining,Savitri Jindal & family,73.0,India,Steel,Metals & Mining,,0,F,Savitri,"$2,611,000,000,000 ",6.0376850167887966e-06,74.0,4.267346486366659,24.867256637168143,0.13575757575757574,0.6024242424242425
97,8250.0,Real Estate,Donald Bren,90.0,United States,Real estate,Real Estate,Irvine Company,1,M,Donald,"$21,427,700,000,000 ",2.5134084782349625e-05,92.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
97,8250.0,Fashion & Retail,"John Menard, Jr.",83.0,United States,Home improvement stores,Fashion & Retail,"Menard, Inc.",1,M,John,"$21,427,700,000,000 ",2.5134084782349625e-05,84.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
99,8250.0,Media & Entertainment,Rupert Murdoch & family,92.0,United States,"Newspapers, TV network",Media & Entertainment,News Corp Class A,0,M,Rupert,"$21,427,700,000,000 ",2.5134084782349625e-05,93.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
100,8250.0,Finance & Investments,Vicky Safra & family,70.0,Switzerland,Banking,Finance & Investments,,0,F,Vicky,"$703,082,435,360 ",0.0009621179750227177,71.0,0.4018081366147665,56.65399239543726,0.12242424242424241,0.3490909090909091
101,8250.0,Fashion & Retail,"Theo Albrecht, Jr. & family",72.0,Germany,"Aldi, Trader Joe's",Fashion & Retail,,0,M,Theo,"$3,845,630,030,824 ",9.923880946195496e-05,73.0,1.2405848471422243,67.5,0.1393939393939394,0.5915151515151514
101,8250.0,Finance & Investments,Renata Kellnerova & family,55.0,Czech Republic,"Finance, telecommunications",Finance & Investments,,0,F,Renata,"$246,489,245,495 ",0.0007732169640240423,57.0,2.4038461538461537,63.65441906653425,0.1806060606060606,0.5587878787878788
103,8250.0,Healthcare,Li Xiting,72.0,China,medical devices,Healthcare,,1,M,Xiting,"$19,910,000,000,000 ",5.902490851139181e-06,73.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
104,8250.0,Fashion & Retail,Stefan Persson,75.0,Sweden,H&M,Fashion & Retail,Hennes & Mauritz Unsponsored ADR,0,M,Stefan,"$530,832,908,738 ",0.0008021037089956076,77.0,1.6288118722287575,52.922590837282776,0.33818181818181814,0.5951515151515152
104,8250.0,Technology,Eric Schmidt,67.0,United States,Google,Technology,,1,M,Eric,"$21,427,700,000,000 ",2.5134084782349625e-05,69.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
106,8250.0,Finance & Investments,Michael Platt,55.0,Switzerland,Hedge funds,Finance & Investments,BlueCrest Capital Management,1,M,Michael,"$703,082,435,360 ",0.0009621179750227177,56.0,0.4018081366147665,56.65399239543726,0.12242424242424241,0.3490909090909091
107,8250.0,Food & Beverage,Pang Kang,67.0,China,Soy sauce,Food & Beverage,,1,M,Kang,"$19,910,000,000,000 ",5.902490851139181e-06,68.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
108,8250.0,Fashion & Retail,Karl Albrecht Jr. & family,,Germany,Supermarkets,Fashion & Retail,,0,M,Karl,"$3,845,630,030,824 ",9.923880946195496e-05,,1.2405848471422243,67.5,0.1393939393939394,0.5915151515151514
108,8250.0,Fashion & Retail,Beate Heister,,,Supermarkets,Fashion & Retail,,0,F,Beate,,,,,,,
108,8250.0,Food & Beverage,Jorge Paulo Lemann & family,83.0,Switzerland,Beer,Food & Beverage,,1,M,Jorge Paulo,"$703,082,435,360 ",0.0009621179750227177,85.0,0.4018081366147665,56.65399239543726,0.12242424242424241,0.3490909090909091
108,8250.0,Real Estate,Peter Woo,76.0,Hong Kong,Real estate,Real Estate,,0,M,Peter,,,78.0,,,,
112,8250.0,Healthcare,Dilip Shanghvi,67.0,India,Pharmaceuticals,Healthcare,,1,M,Dilip,"$2,611,000,000,000 ",6.0376850167887966e-06,69.0,4.267346486366659,24.867256637168143,0.13575757575757574,0.6024242424242425
113,8250.0,Technology,Robert Pera,45.0,United States,Wireless networking,Technology,Ubiquiti,1,M,Robert,"$21,427,700,000,000 ",2.5134084782349625e-05,46.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
114,8250.0,Fashion & Retail,Radhakishan Damani,68.0,India,"Retail, investments",Fashion & Retail,,1,M,Radhakishan,"$2,611,000,000,000 ",6.0376850167887966e-06,69.0,4.267346486366659,24.867256637168143,0.13575757575757574,0.6024242424242425
115,8250.0,Automotive,Huang Shilin,56.0,China,Batteries,Automotive,,1,M,Shilin,"$19,910,000,000,000 ",5.902490851139181e-06,57.0,2.318516149664215,50.49900199600798,0.11393939393939394,0.7175757575757575
116,8250.0,Diversified,Dhanin Chearavanont,83.0,Thailand,Diversified,Diversified,,0,M,Dhanin,"$543,649,976,166 ",0.00011849093053182665,85.0,0.6179924075218504,49.39879759519038,0.1806060606060606,0.3575757575757576
